activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.71C,rue,PIERRE CURIE,VILLEPREUX,78450,78,POINT (48.8339199 2.0121418),2.0121418,48.8339199
10.71C,rue,DES PIERRETTES,MAGNANVILLE,78200,78,POINT (48.779774 2.3389857),2.3389857,48.779774
10.71C,rue,DISPAN,L'HAY-LES-ROSES,94240,94,POINT (48.6161955 2.4823845),2.4823845,48.6161955
10.71C,rue,DU 14 JUILLET,CORBEIL-ESSONNES,91100,91,POINT (48.8815248 2.2995655),2.2995655,48.8815248
10.71C,rue,GUSTAVE FLAUBERT,PARIS 17,75017,75,POINT (48.8744797 2.5816925),2.5816925,48.8744797
10.71C,avenue,DE LA RESISTANCE,CHELLES,77500,77,POINT (48.8504304 2.2732143),2.2732143,48.8504304
10.71C,rue,FRANCOIS MILLET,PARIS 16,75016,75,POINT (48.8893053 2.1582073),2.1582073,48.8893053
10.71C,avenue,DU MARECHAL FOCH,CHATOU,78400,78,POINT (48.8872666 2.181161),2.181161,48.8872666
10.71C,place,DE LA MAIRIE,ORGERUS,78910,78,POINT (48.8257595 2.2968483),2.2968483,48.8257595
10.71C,rue,DE L EGLISE,LIMAY,78520,78,POINT (48.847567 2.2675037),2.2675037,48.847567
10.71C,rue,ST DOMINIQUE,PARIS 7,75007,75,POINT (48.9234286 2.5145925),2.5145925,48.9234286
10.71C,boulevard,VOLTAIRE,PARIS 11,75011,75,POINT (48.881673 2.3023391),2.3023391,48.881673
10.71C,rue,SADI CARNOT,VANVES,92170,92,POINT (48.843895 2.320109),2.320109,48.843895
10.71C,rue,D AUTEUIL,PARIS 16,75016,75,POINT (48.8593214 2.213769),2.213769,48.8593214
10.71C,avenue,DE LA GARE DE L ABBAYE,AULNAY-SOUS-BOIS,93600,93,POINT (48.9934659 1.9131319),1.9131319,48.9934659
10.71C,rue,CARDINET,PARIS 17,75017,75,POINT (48.9284692 2.2738474),2.2738474,48.9284692
10.71C,avenue,DU MAINE,PARIS 14,75014,75,POINT (48.847177 2.4476519),2.4476519,48.847177
10.71C,rue,DES MOURINOUX,ASNIERES-SUR-SEINE,92600,92,POINT (48.959933 2.8783281),2.8783281,48.959933
10.71C,boulevard,DE LA LIBERATION,VINCENNES,94300,94,POINT (48.7788825 2.2911093),2.2911093,48.7788825
10.71C,rue,DE LA CHARBONNIERE,PARIS 18,75018,75,POINT (48.8917744 2.3820884),2.3820884,48.8917744
10.71C,rue,DE MEAUX,PARIS 19,75019,75,POINT (48.8565251 2.3091993),2.3091993,48.8565251
