activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
10.71C,rue,PIERRE CURIE,VILLEPREUX,78674,78,POINT (2.0121418 48.8339199),48.8339199,2.0121418
10.71C,rue,DES PIERRETTES,MAGNANVILLE,78354,78,POINT (2.3389857 48.779774),48.779774,2.3389857
10.71C,rue,DISPAN,L'HAY-LES-ROSES,94038,94,POINT (2.4823845 48.6161955),48.6161955,2.4823845
10.71C,rue,DU 14 JUILLET,CORBEIL-ESSONNES,91174,91,POINT (2.2995655 48.8815248),48.8815248,2.2995655
10.71C,rue,GUSTAVE FLAUBERT,PARIS 17,75117,75,POINT (2.5816925 48.8744797),48.8744797,2.5816925
10.71C,avenue,DE LA RESISTANCE,CHELLES,77108,77,POINT (2.2732143 48.8504304),48.8504304,2.2732143
10.71C,rue,FRANCOIS MILLET,PARIS 16,75116,75,POINT (2.1582073 48.8893053),48.8893053,2.1582073
10.71C,avenue,DU MARECHAL FOCH,CHATOU,78146,78,POINT (2.181161 48.8872666),48.8872666,2.181161
10.71C,place,DE LA MAIRIE,ORGERUS,78465,78,POINT (2.2968483 48.8257595),48.8257595,2.2968483
10.71C,rue,DE L EGLISE,LIMAY,78335,78,POINT (2.2675037 48.847567),48.847567,2.2675037
10.71C,rue,ST DOMINIQUE,PARIS 7,75107,75,POINT (2.5145925 48.9234286),48.9234286,2.5145925
10.71C,boulevard,VOLTAIRE,PARIS 11,75111,75,POINT (2.3023391 48.881673),48.881673,2.3023391
10.71C,rue,SADI CARNOT,VANVES,92075,92,POINT (2.320109 48.843895),48.843895,2.320109
10.71C,rue,D AUTEUIL,PARIS 16,75116,75,POINT (2.2140539 48.8593888),48.8593888,2.2140539
10.71C,avenue,DE LA GARE DE L ABBAYE,AULNAY-SOUS-BOIS,93005,93,POINT (1.9131319 48.9934659),48.9934659,1.9131319
10.71C,rue,CARDINET,PARIS 17,75117,75,POINT (2.2738474 48.9284692),48.9284692,2.2738474
10.71C,avenue,DU MAINE,PARIS 14,75114,75,POINT (2.4461338 48.8478011),48.8478011,2.4461338
10.71C,rue,DES MOURINOUX,ASNIERES-SUR-SEINE,92004,92,POINT (2.8783281 48.959933),48.959933,2.8783281
10.71C,boulevard,DE LA LIBERATION,VINCENNES,94080,94,POINT (2.2911093 48.7788825),48.7788825,2.2911093
10.71C,rue,DE LA CHARBONNIERE,PARIS 18,75118,75,POINT (2.3820884 48.8917744),48.8917744,2.3820884
10.71C,rue,DE MEAUX,PARIS 19,75119,75,POINT (2.3091993 48.8565251),48.8565251,2.3091993
10.71C,rue,RAMPONNEAU,PARIS 20,75120,75,POINT (2.1339296 48.9019918),48.9019918,2.1339296
10.71C,rue,DU PORT AUX DAMES,DRAVEIL,91201,91,POINT (2.3638832 48.8207871),48.8207871,2.3638832
10.71C,rue,SAINT ETIENNE,MEAUX,77284,77,POINT (2.3429289 48.8749406),48.8749406,2.3429289
10.71C,rue,HOUDAN,SCEAUX,92071,92,POINT (1.6018687 49.048819),49.048819,1.6018687
10.71C,rue,DE NANTES,PARIS 19,75119,75,POINT (2.168804 49.1317257),49.1317257,2.168804
10.71C,avenue,DE LA MOTTE PICQUET,PARIS 7,75107,75,POINT (2.1427499 48.7935899),48.7935899,2.1427499
10.71C,rue,DU PETIT MONTESSON,LE VESINET,78650,78,POINT (2.3776502 48.8482587),48.8482587,2.3776502
10.71C,avenue,DE CHOISY,PARIS 13,75113,75,POINT (2.3001696 48.8113925),48.8113925,2.3001696
10.71C,rue,CADET,PARIS 9,75109,75,POINT (2.3184076 48.7875104),48.7875104,2.3184076
10.71C,rue,CHARLES DE GAULLE,FRENEUSE,78255,78,POINT (2.3606162 48.8566136),48.8566136,2.3606162
10.71C,rue,THIEBAULT,NESLES-LA-VALLEE,95446,95,POINT (2.4431597 48.8594214),48.8594214,2.4431597
10.71C,rue,DES CHANTIERS,VERSAILLES,78646,78,POINT (2.3750226 48.8246659),48.8246659,2.3750226
10.71C,rue,D ALIGRE,PARIS 12,75112,75,POINT (2.2372118 48.6404575),48.6404575,2.2372118
10.71C,avenue,DE PARIS,CHATILLON,92020,92,POINT (2.3189391186840194 48.988445850000005),48.988445850000005,2.3189391186840194
10.71C,rue,DES ROSIERS,PARIS 4,75104,75,POINT (2.681069 48.5261906),48.5261906,2.681069
10.71C,rue,DE STALINGRAD,MONTREUIL,93048,93,POINT (2.3290882 48.8513423),48.8513423,2.3290882
10.71C,rue,ALFRED DUBOIS,MARCOUSSIS,91363,91,POINT (2.3913424 48.87786),48.87786,2.3913424
10.71C,place,ROGER LEVANNEUR,MONTMORENCY,95428,95,POINT (2.3155897 48.8820538),48.8820538,2.3155897
10.71C,place,DU GENERAL LECLERC,FONTENAY-SOUS-BOIS,94033,94,POINT (2.3309816 48.9035206),48.9035206,2.3309816
10.71C,rue,DES ORMESSONS,VAUX-LE-PENIL,77487,77,POINT (2.1087314 49.0004977),49.0004977,2.1087314
10.71C,,DE GISY,BIEVRES,91064,91,POINT (2.34739 48.9862716),48.9862716,2.34739
10.71C,boulevard,DE GRENELLE,PARIS 15,75115,75,POINT (2.2115619 48.8589434),48.8589434,2.2115619
