activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
10.82Z,rue,GUSTAVE EIFFEL,MORANGIS,91420,91,POINT (2.3400522 48.6998741),2.3400522,48.6998741
10.82Z,rue,J B SEMANAZ,LE PRE-SAINT-GERVAIS,93310,93,POINT (2.4410477 48.8604457),2.4410477,48.8604457
10.82Z,rue,DE BELLEVILLE,PARIS 20,75020,75,POINT (2.5077671 48.7463158),2.5077671,48.7463158
10.82Z,rue,DU CAPITAINE DREYFUS,MONTREUIL,93100,93,POINT (2.295248 48.9969981),2.295248,48.9969981
10.82Z,rue,DE LA PROCESSION,BOISSY-SAINT-LEGER,94470,94,POINT (2.3264002522165343 48.8753676),2.3264002522165343,48.8753676
10.82Z,avenue,DES CURES,ANDILLY,95580,95,POINT (2.3678661 48.8534515),2.3678661,48.8534515
10.82Z,place,DU HAVRE,PARIS 9,75009,75,POINT (2.6637405 48.6775524),2.6637405,48.6775524
10.82Z,rue,SAINT ANTOINE,PARIS 4,75004,75,POINT (2.7731477 48.3432071),2.7731477,48.3432071
10.82Z,avenue,DU MARECHAL JOFFRE,GRISY-SUISNES,77166,77,POINT (2.7187642 48.2590381),2.7187642,48.2590381
10.82Z,rue,ROGER GENTY,MONTIGNY-SUR-LOING,77690,77,POINT (2.6583466 48.5389341),2.6583466,48.5389341
10.82Z,rue,LOUIS BLERIOT,NEMOURS,77140,77,POINT (2.4381176 48.8460553),2.4381176,48.8460553
10.82Z,rue,LEJEMPTEL,VINCENNES,94300,94,POINT (3.2999247 48.559829),3.2999247,48.559829
10.82Z,rue,CENTRE COMMERCIAL CARREFOUR,VILLIERS-EN-BIERE,77190,77,POINT (2.3078222 48.6348232),2.3078222,48.6348232
10.82Z,rue,DE TURENNE,PARIS 3,75003,75,POINT (2.0914473 48.8972689),2.0914473,48.8972689
10.82Z,rue,DE LA FRIPERIE,PROVINS,77160,77,POINT (2.3985277 48.8940723),2.3985277,48.8940723
