activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codeCommuneEtablissement,departement,geometry,long,lat
47.22Z,rue,DE L ORILLON,PARIS 11,75111,75,POINT (2.3747317 48.869769),2.3747317,48.869769
47.22Z,rue,RICHER,PARIS 9,75109,75,POINT (2.3452336 48.8740342),2.3452336,48.8740342
47.22Z,boulevard,ARISTIDE BRIAND,CHAMPIGNY-SUR-MARNE,94017,94,POINT (2.49736 48.8212483),2.49736,48.8212483
47.22Z,rue,MONTORGUEIL,PARIS 2,75102,75,POINT (2.3468908 48.8651237),2.3468908,48.8651237
47.22Z,rue,DES CARNETS,CLAMART,92023,92,POINT (2.2596809 48.789496),2.2596809,48.789496
47.22Z,rue,DORIAN,PARIS 12,75112,75,POINT (2.3925146 48.8466373),2.3925146,48.8466373
47.22Z,rue,DE POISSY,SAINT-GERMAIN-EN-LAYE,78551,78,POINT (2.0900062 48.8974761),2.0900062,48.8974761
47.22Z,boulevard,DE MAGENTA,PARIS 10,75110,75,POINT (2.3623965 48.8694767),2.3623965,48.8694767
47.22Z,rue,DU RENDEZ VOUS,PARIS 12,75112,75,POINT (2.4045488 48.8452752),2.4045488,48.8452752
47.22Z,rue,HEBERT,LEUVILLE-SUR-ORGE,91333,91,POINT (2.2592321 48.6133926),2.2592321,48.6133926
47.22Z,rue,DES MOINEAUX,ERAGNY,95218,95,POINT (2.1139478 49.0197317),2.1139478,49.0197317
47.22Z,rue,DE VALCONFLANS,SANNOIS,95582,95,POINT (2.2497648 48.968719),2.2497648,48.968719
47.22Z,avenue,D ARGENTEUIL,ASNIERES-SUR-SEINE,92004,92,POINT (2.2826724 48.9155548),2.2826724,48.9155548
47.22Z,rue,DES HALLES,MANTES-LA-JOLIE,78361,78,POINT (1.7170121 48.9910309),1.7170121,48.9910309
47.22Z,rue,MYRHA,PARIS 18,75118,75,POINT (2.3547404 48.88726),2.3547404,48.88726
47.22Z,boulevard,CHARLES DE GAULLE,COLOMBES,92025,92,POINT (2.2348791 48.9100411),2.2348791,48.9100411
47.22Z,rue,DE TOCQUEVILLE,PARIS 17,75117,75,POINT (2.3130385 48.8829469),2.3130385,48.8829469
47.22Z,avenue,JEAN JAURES,LA COURNEUVE,93027,93,POINT (2.4102909 48.9210043),2.4102909,48.9210043
47.22Z,rue,FERNAND PELLOUTIER,CHAMPIGNY-SUR-MARNE,94017,94,POINT (2.5090495 48.8199335),2.5090495,48.8199335
47.22Z,rue,DU GENERAL GALLIENI,ROSNY-SOUS-BOIS,93064,93,POINT (2.4837217 48.8733591),2.4837217,48.8733591
47.22Z,rue,LEBON,PARIS 17,75117,75,POINT (2.2915981 48.8812633),2.2915981,48.8812633
47.22Z,rue,PAUL DOUMER,LES MUREAUX,78440,78,POINT (1.9103186 48.9950801),1.9103186,48.9950801
47.22Z,rue,EMILE COMBRES,MONTSOULT,95430,95,POINT (2.3212431 49.0654858),2.3212431,49.0654858
47.22Z,avenue,HENRI MARTIN,NANTERRE,92050,92,POINT (2.1874557 48.8927493),2.1874557,48.8927493
47.22Z,rue,FONTAINE,PONTOISE,95500,95,POINT (2.0935554 49.0581533),2.0935554,49.0581533
47.22Z,rue,DE BOURGOGNE,PARIS 7,75107,75,POINT (2.3182557 48.8599028),2.3182557,48.8599028
47.22Z,rue,FRANCOIS VILLON,CACHAN,94016,94,POINT (2.331627 48.7851565),2.331627,48.7851565
47.22Z,rue,BOURGON,PARIS 13,75113,75,POINT (2.3567971 48.8229383),2.3567971,48.8229383
47.22Z,rue,CROZATIER,PARIS 12,75112,75,POINT (2.382592 48.8459015),2.382592,48.8459015
47.22Z,rue,DES ENTREPRENEURS,PARIS 15,75115,75,POINT (2.2911074 48.8444202),2.2911074,48.8444202
47.22Z,place,DU MARCHE NEUF,GIF-SUR-YVETTE,91272,91,POINT (2.1154121 48.6886969),2.1154121,48.6886969
47.22Z,rue,CROZATIER,PARIS 12,75112,75,POINT (2.382592 48.8459015),2.382592,48.8459015
