activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.61Z,avenue,DAUMESNIL,PARIS 12,75012,75,POINT (2.3908221 48.8389263),2.3908221,48.8389263
47.61Z,boulevard,DE REUILLY,PARIS 12,75012,75,POINT (2.2789061 48.8453013),2.2789061,48.8453013
47.61Z,rue,DE LA CONVENTION,PARIS 15,75015,75,POINT (1.8361491 48.641512),1.8361491,48.641512
47.61Z,rue,DU TRAITE DE ROME,RAMBOUILLET,78120,78,POINT (2.3412105 48.8740232),2.3412105,48.8740232
47.61Z,rue,DE PROVENCE,PARIS 9,75009,75,POINT (2.3410456 48.8465857),2.3410456,48.8465857
47.61Z,rue,GAY LUSSAC,PARIS 5,75005,75,POINT (2.3389152 48.8535801),2.3389152,48.8535801
47.61Z,rue,SAINT ANDRE DES ARTS,PARIS 6,75006,75,POINT (2.343852 48.8472744),2.343852,48.8472744
47.61Z,rue,CUJAS,PARIS 5,75005,75,POINT (2.3507621 48.8483077),2.3507621,48.8483077
47.61Z,rue,SAINT VICTOR,PARIS 5,75005,75,POINT (2.3410057 48.8547921),2.3410057,48.8547921
47.61Z,rue,DES GRANDS AUGUSTINS,PARIS 6,75006,75,POINT (2.274637 48.8684448),2.274637,48.8684448
47.61Z,rue,DE LONGCHAMP,PARIS 16,75116,75,POINT (2.2983559 48.8777215),2.2983559,48.8777215
47.61Z,rue,DU FAUBOURG SAINT HONORE,PARIS 8,75008,75,POINT (1.9479569 48.7662635),1.9479569,48.7662635
47.61Z,rue,DU CHEMIN AUX BOEUFS,ELANCOURT,78990,78,POINT (2.323919877762703 48.87737115),2.323919877762703,48.87737115
47.61Z,rue,DE LA BUCHERIE,PARIS 5,75005,75,POINT (2.3475322 48.8525859),2.3475322,48.8525859
47.61Z,rue,ST JULIEN LE PAUVRE,PARIS 5,75005,75,POINT (2.350592 48.8603571),2.350592,48.8603571
47.61Z,rue,COCHIN,PARIS 5,75005,75,POINT (2.2899544 48.8536669),2.2899544,48.8536669
47.61Z,rue,AUBRY LE BOUCHER,PARIS 4,75004,75,POINT (2.3155897 48.8820538),2.3155897,48.8820538
47.61Z,avenue,J B CLEMENT,BOULOGNE-BILLANCOURT,92100,92,POINT (2.3342123 48.8641451),2.3342123,48.8641451
