activitePrincipaleEtablissement,typeVoieEtablissement,libelleVoieEtablissement,libelleCommuneEtablissement,codePostalEtablissement,departement,geometry,long,lat
47.73Z,rue,D ESTIENNE D ORVES,FONTENAY-SOUS-BOIS,94120,94,POINT (2.4542254 48.8528705),2.4542254,48.8528705
47.73Z,rue,PETIT DE BEAUVERGER,BRIE-COMTE-ROBERT,77170,77,POINT (2.6036159 48.6954736),2.6036159,48.6954736
47.73Z,rue,CHALIGNY,PARIS 12,75012,75,POINT (2.3837905 48.8460949),2.3837905,48.8460949
47.73Z,rue,AUGUSTE RENOIR,MARGENCY,95580,95,POINT (2.2898731 49.0036806),2.2898731,49.0036806
47.73Z,avenue,DE VILLIERS,PARIS 17,75017,75,POINT (2.3135399 48.8818129),2.3135399,48.8818129
47.73Z,rue,DU GENERAL LECLERC,MONTFERMEIL,93370,93,POINT (2.5773605 48.8946242),2.5773605,48.8946242
47.73Z,boulevard,VINCENT AURIOL,PARIS 13,75013,75,POINT (2.3729764 48.8367911),2.3729764,48.8367911
47.73Z,rue,DE VAUGIRARD,PARIS 15,75015,75,POINT (2.336455 48.8492162),2.336455,48.8492162
47.73Z,rue,DAUPHINE,PARIS 6,75006,75,POINT (2.3395563 48.8549853),2.3395563,48.8549853
47.73Z,place,DE FRANCE,SARCELLES,95200,95,POINT (2.3778549 48.9777578),2.3778549,48.9777578
47.73Z,rue,DAUPHINE,PARIS 6,75006,75,POINT (2.3395563 48.8549853),2.3395563,48.8549853
47.73Z,avenue,JEAN LURCAT,FONTENAY-LE-FLEURY,78330,78,POINT (2.0462634 48.8111745),2.0462634,48.8111745
47.73Z,rue,DE L AMBASSADEUR,ERAGNY,95610,95,POINT (2.0930977 49.0124652),2.0930977,49.0124652
47.73Z,rue,DE CHARENTON,PARIS 12,75012,75,POINT (2.3709431 48.8523901),2.3709431,48.8523901
47.73Z,rue,GREFFULHE,LEVALLOIS-PERRET,92300,92,POINT (2.2761275 48.8950068),2.2761275,48.8950068
47.73Z,rue,DE MUSSELBURGH,CHAMPIGNY-SUR-MARNE,94500,94,POINT (2.5127532 48.8119132),2.5127532,48.8119132
47.73Z,avenue,DE WAGRAM,PARIS 17,75017,75,POINT (2.2962363 48.8758019),2.2962363,48.8758019
47.73Z,rue,DU CHEVALIER DE ST GEORGE,PARIS 1,75001,75,POINT (2.1830989 48.9797596),2.1830989,48.9797596
47.73Z,boulevard,DE PONTOISE,LA FRETTE-SUR-SEINE,95530,95,POINT (2.3550265 48.8703034),2.3550265,48.8703034
47.73Z,boulevard,DE STRASBOURG,PARIS 10,75010,75,POINT (2.2611484 48.7365156),2.2611484,48.7365156
47.73Z,allée,ALBERT THOMAS,MASSY,91300,91,POINT (2.4781544 48.6009523),2.4781544,48.6009523
47.73Z,rue,DE L ABBE GREGOIRE,PARIS 6,75006,75,POINT (2.3299655 48.8729594),2.3299655,48.8729594
47.73Z,rue,DE TURBIGO,PARIS 2,75002,75,POINT (2.4024185 48.7820119),2.4024185,48.7820119
47.73Z,rue,DES MATHURINS,PARIS 8,75008,75,POINT (1.7157525 48.9686423),1.7157525,48.9686423
47.73Z,rue,DE CHOISY,VITRY-SUR-SEINE,94400,94,POINT (2.2400674 48.7075941),2.2400674,48.7075941
47.73Z,rue,DE PARIS,PALAISEAU,91120,91,POINT (2.3265353 48.8850945),2.3265353,48.8850945
47.73Z,rue,A BERTHIER,HERICY,77850,77,POINT (2.4098219 48.7646607),2.4098219,48.7646607
47.73Z,avenue,DE CLICHY,PARIS 17,75017,75,POINT (2.9127923 48.9524789),2.9127923,48.9524789
47.73Z,avenue,ANATOLE FRANCE,CHOISY-LE-ROI,94600,94,POINT (2.2002136 48.8259307),2.2002136,48.8259307
47.73Z,rue,DE LA PEPINIERE,PARIS 8,75008,75,POINT (2.2917139 48.8724953),2.2917139,48.8724953
47.73Z,quai,D AUSTERLITZ,PARIS 13,75013,75,POINT (2.3684143 48.7636055),2.3684143,48.7636055
47.73Z,allée,JEAN LOUIS BARRAULT,MEAUX,77100,77,POINT (2.9350292 48.9371006),2.9350292,48.9371006
47.73Z,rue,DE SEVRES,BOULOGNE-BILLANCOURT,92100,92,POINT (2.3686136 48.8465757),2.3686136,48.8465757
47.73Z,avenue,VICTOR HUGO,PARIS 16,75116,75,POINT (2.3628364 48.7131129),2.3628364,48.7131129
47.73Z,avenue,DE FONTAINEBLEAU,THIAIS,94320,94,POINT (2.2722818 48.846196),2.2722818,48.846196
47.73Z,rue,DE LA FONTAINE DU TOIT,FUBLAINES,77470,77,POINT (2.4003457 48.8515884),2.4003457,48.8515884
47.73Z,avenue,LEDRU ROLLIN,PARIS 11,75011,75,POINT (2.1001634 49.0507348),2.1001634,49.0507348
47.73Z,place,HENRI BARBUSSE,PARAY-VIEILLE-POSTE,91550,91,POINT (2.247207780128209 48.88982505),2.247207780128209,48.88982505
47.73Z,rue,NARCISSE DIAZ,PARIS 16,75016,75,POINT (2.1975327 48.8898431),2.1975327,48.8898431
47.73Z,rue,D AVRON,PARIS 20,75020,75,POINT (2.3693385 48.6557228),2.3693385,48.6557228
47.73Z,place,DE L HOTEL DE VILLE,PONTOISE,95300,95,POINT (2.3565119 48.8601341),2.3565119,48.8601341
47.73Z,place,DES REFLETS,COURBEVOIE,92400,92,POINT (2.3174233 48.966935),2.3174233,48.966935
47.73Z,place,GABRIEL PERI,NANTERRE,92000,92,POINT (2.2737998 48.8662513),2.2737998,48.8662513
47.73Z,avenue,DE LA FORET,VIRY-CHATILLON,91170,91,POINT (2.2558028 48.9474468),2.2558028,48.9474468
47.73Z,rue,RAMBUTEAU,PARIS 3,75003,75,POINT (2.3565119 48.8601341),2.3565119,48.8601341
47.73Z,rue,D ORMESSON,DEUIL-LA-BARRE,95170,95,POINT (2.2910578 48.8791004),2.2910578,48.8791004
47.73Z,rue,DUFRENOY,PARIS 16,75116,75,POINT (3.2986968 48.5596178),3.2986968,48.5596178
